01  农业产品
            0201030203	冬青树类树苗
            0201030204	桦树类树苗
            0201030205	木棉树类树苗
            0201030206	榛树类树苗
            0201030207	杨树类树苗
            0201030208	柳树类树苗
            0201030209	樟树类树苗
            0201030210	楠木类树苗
            0201030211	榆树类树苗
            0201030212	桂花树苗
            0201030213	相思类树苗
            0201030214	壳斗科类树苗
            0201030299	其他阔叶乔木树苗
        02010303	果树苗
            0201030301	苹果树苗
            0201030302	梨树苗
            0201030303	葡萄树苗
            0201030304	柑橘树苗
            0201030305	桃树苗
            0201030399	其他果树苗
        02010304	竹苗
            0201030401	毛竹苗
            0201030402	撑蒿竹苗
            0201030403	水竹苗
            0201030404	淡竹苗
            0201030405	慈竹苗
            0201030406	红壳竹苗
            0201030407	绿竹苗
            0201030499	其他竹苗
        02010305	灌木树苗
            0201030501	蕃荔枝类灌木树苗
            0201030502	夹竹桃类灌木树苗
            0201030503	冬青类灌木树苗
            0201030504	小檗类灌木树苗
            0201030505	桦木及杨树类灌木树苗
            0201030599	其他灌木树苗
0202	木材采伐产品
    020201	原木
        02020101	针叶原木
            0202010101	红松原木
            0202010102	樟子松原木
            0202010103	白松（云杉和冷杉）原木
            0202010104	辐射松原木
            0202010105	落叶松原木
            0202010106	马尾松原木
            0202010107	云南松原木
            0202010108	杉木原条
            0202010199	其他针叶原木
        02020102	非针叶原木
            0202010201	栎木（橡木）原木
            0202010202	山毛榉木原木
            0202010203	楠木原木
            0202010204	樟木原木
            0202010205	泡桐木原木
            0202010206	杨树原木
            0202010207	水曲柳原木
            0202010208	胡桃楸原木
            0202010209	柞木原木
            0202010210	桦木原木
            0202010211	榆木原木
            0202010212	柳木原木
            0202010213	椴木原木
            0202010214	桉树原木
            0202010299	其他非针叶原木
    020202	小规格木材
    020203	薪材
    020204	短条及细枝等
0203	竹材采伐产品
    020301	竹材
        02030101	毛竹
        02030102	撑蒿竹
        02030103	水竹
        02030104	淡竹
        02030105	慈竹
        02030106	红壳竹
        02030199	其他竹材
    020399	其他竹材采伐产品
0204	林产品
    020401	天然橡胶
        02040101	天然橡胶乳
        02040102	烟胶片
        02040103	胶清片
        02040104	白皱片
        02040105	褐胶片
        02040106	标准胶片
        02040199	其他天然橡胶
    020402	天然树脂、树胶
        02040201	天然生漆
        02040202	天然松脂
        02040203	虫胶
        02040204	桃胶
        02040205	冷杉胶
        02040299	其他天然树脂、树胶
    020403	栲胶原料
        02040301	落叶松树皮
        02040302	杨梅树皮
        02040303	油柑树皮
        02040304	?树皮
        02040305	木麻黄树皮
        02040306	黑荆树皮
        02040307	橡碗
        02040308	化香果
        02040399	其他栲胶原料
    020404	非直接食用果类
        02040401	油桐籽
        02040402	油茶籽
        02040403	沙棘果
        02040404	油棕果
        02040405	乌桕子
        02040406	油橄榄
        02040407	文冠果
        02040408	山苍籽
        02040409	黑椋子
        02040410	麻风树果（小桐子）
        02040411	黄连木果
        02040412    光皮树果
        02040499	其他非直接食用果类
    020405	编结用原料
        02040501 	藤条
        02040502 	柳条
        02040503 	柠条
        02040504 	荆条
        02040505 	桑条
        02040506 	灯心草
        02040507 	菖蒲
        02040508 	葵叶
        02040599 	其他编织用原料
    020406	染色、鞣革用植物原料
        02040601 	五倍子
        02040602 	地衣
        02040603 	蓝靛
        02040604 	薯茛
        02040699 	其他染色、鞣革用植物原料
    020407	野生植物活体
        02040701 	野生乔木
        02040702 	野生灌木
        02040703 	野生藤木
        02040704 	野生菌类
        02040799 	其他野生植物活体
    020408	野生植物采集产品
        02040801 	野生植物根
        02040802 	野生植物茎
        02040803 	野生植物叶
